Journey,Screen / Page,Route,UI Element Type,Translation Key,Current Arabic,Current English,File Path,Line Number,Character or Space Constraint,Variables / Interpolation,Notes
"12. Account, notifications & settings",Company profile,/company/*,Form label,companyProfile.industriesServedLabel,القطاعات المخدومة,Industries served,client/src/lib/i18n.tsx,3477,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.insTypeCyber,مسؤولية الإنترنت,Cyber liability,client/src/lib/i18n.tsx,3500,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.insTypeGeneralLiability,المسؤولية العامة,General liability,client/src/lib/i18n.tsx,3496,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.insTypeOther,أخرى,Other,client/src/lib/i18n.tsx,3501,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.insTypeProfessionalIndemnity,التعويض المهني,Professional indemnity,client/src/lib/i18n.tsx,3497,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.insTypePublicLiability,المسؤولية المدنية,Public liability,client/src/lib/i18n.tsx,3499,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.insTypeWorkersCompensation,تعويض العمال,Workers compensation,client/src/lib/i18n.tsx,3498,,,
"12. Account, notifications & settings",Company profile,/company/*,Form label,companyProfile.languagesLabel,اللغات,Languages,client/src/lib/i18n.tsx,3479,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.memberSince,عضو منذ {date},Member since {date},client/src/lib/i18n.tsx,3491,,{date},
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.navBack,رجوع,Back,client/src/lib/i18n.tsx,3457,,,
"12. Account, notifications & settings",Company profile,/company/*,Heading / title,companyProfile.navTitle,ملف الشركة,Company Profile,client/src/lib/i18n.tsx,3458,One line preferred,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.navTitleIndividual,ملف المستقل,Freelancer Profile,client/src/lib/i18n.tsx,3460,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.navTitleTeam,ملف الفريق,Team Profile,client/src/lib/i18n.tsx,3459,,,
"12. Account, notifications & settings",Company profile,/company/*,Empty state,companyProfile.noAbout,لم تضف هذه الشركة وصفاً بعد.,This company hasn't added a description yet.,client/src/lib/i18n.tsx,3473,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.notFound,الشركة غير موجودة,Company Not Found,client/src/lib/i18n.tsx,3454,,,
"12. Account, notifications & settings",Company profile,/company/*,Helper text,companyProfile.notFoundDesc,ملف الشركة هذا غير موجود أو تمت إزالته.,This company profile doesn't exist or has been removed.,client/src/lib/i18n.tsx,3455,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionAbout,نبذة,About,client/src/lib/i18n.tsx,3472,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionBrochure,الكتيب التعريفي,Company Brochure,client/src/lib/i18n.tsx,3489,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionCapabilities,القدرات,Capabilities,client/src/lib/i18n.tsx,3475,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionCertifications,الشهادات,Certifications,client/src/lib/i18n.tsx,3486,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionConnect,تواصل,Connect,client/src/lib/i18n.tsx,3492,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionCredentials,الاعتمادات,Credentials,client/src/lib/i18n.tsx,3480,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionIntroVideo,فيديو تعريفي,Intro Video,client/src/lib/i18n.tsx,3474,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionMarketsReach,الأسواق والنطاق,Markets & Reach,client/src/lib/i18n.tsx,3476,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionPortfolio,معرض الأعمال,Portfolio,client/src/lib/i18n.tsx,3487,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionPreviousWorks,الأعمال السابقة,Previous Work,client/src/lib/i18n.tsx,3488,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionTrackRecord,السجل الحافل,Track Record,client/src/lib/i18n.tsx,3468,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sectionVerifiedCredentials,بيانات اعتماد موثّقة,Verified Credentials,client/src/lib/i18n.tsx,3469,,,
"12. Account, notifications & settings",Company profile,/company/*,Form label,companyProfile.serviceAreasLabel,مناطق الخدمة,Service areas,client/src/lib/i18n.tsx,3478,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sizeLabel110,1-10 موظفين,1-10 employees,client/src/lib/i18n.tsx,3446,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sizeLabel1150,11-50 موظفاً,11-50 employees,client/src/lib/i18n.tsx,3447,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sizeLabel201500,201-500 موظف,201-500 employees,client/src/lib/i18n.tsx,3449,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sizeLabel51200,51-200 موظف,51-200 employees,client/src/lib/i18n.tsx,3448,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.sizeLabelOver500,500+ موظف,500+ employees,client/src/lib/i18n.tsx,3450,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.socialLinkedIn,لينكدإن,LinkedIn,client/src/lib/i18n.tsx,3494,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.socialTwitter,إكس / تويتر,X / Twitter,client/src/lib/i18n.tsx,3495,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.socialWebsite,الموقع الإلكتروني,Website,client/src/lib/i18n.tsx,3493,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.statCitiesCovered,مدن مغطاة,Cities covered,client/src/lib/i18n.tsx,3444,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.statClientsServed,عملاء تم خدمتهم,Clients served,client/src/lib/i18n.tsx,3442,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.statProjectsCompleted,مشاريع مكتملة,Projects completed,client/src/lib/i18n.tsx,3441,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.statRepeatClients,عملاء متكررون,Repeat clients,client/src/lib/i18n.tsx,3443,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.statTeamSize,حجم الفريق,Team size,client/src/lib/i18n.tsx,3445,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.statYearsInBusiness,سنوات في الأعمال,Years in business,client/src/lib/i18n.tsx,3440,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.subsectionCertifications,الشهادات,Certifications,client/src/lib/i18n.tsx,3481,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.subsectionInsurance,التأمين,Insurance,client/src/lib/i18n.tsx,3482,,,
"12. Account, notifications & settings",Company profile,/company/*,Helper text,companyProfile.verifiedByNote,راجع Bid وتحقق من الوثائق الرسمية التالية لهذه الشركة.,Bid has reviewed and verified the following official documents for this company.,client/src/lib/i18n.tsx,3470,,,
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.verifiedSince,موثّق {date},Verified {date},client/src/lib/i18n.tsx,3471,,{date},
"12. Account, notifications & settings",Company profile,/company/*,Text,companyProfile.viewCompanyProfile,عرض ملف الشركة,View Company Profile,client/src/lib/i18n.tsx,3490,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.catAwardOutcome,نتائج الترسية,Award outcomes,client/src/lib/i18n.tsx,3425,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.catAwardOutcomeDesc,عند فوزك بمناقصة أو حظر ترسية.,When you win a tender or an award is blocked.,client/src/lib/i18n.tsx,3426,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.catCompanyAdmin,الشركة والإدارة,Company & admin,client/src/lib/i18n.tsx,3433,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.catCompanyAdminDesc,تحديثات التحقق وطلبات الانضمام وأحداث الإدارة لشركتك.,"Verification updates, join requests, and admin events for your company.",client/src/lib/i18n.tsx,3434,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.catNegotiationActivity,نشاط التفاوض,Negotiation activity,client/src/lib/i18n.tsx,3427,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.catNegotiationActivityDesc,عند وجود نشاط على محادثة تفاوض تشارك فيها.,When there's activity on a negotiation thread you're part of.,client/src/lib/i18n.tsx,3428,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.catNewProposal,العروض الجديدة,New proposals,client/src/lib/i18n.tsx,3421,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.catNewProposalDesc,عندما يقدّم أحد الموردين عرضًا على إحدى مناقصاتك.,When a vendor submits a proposal to one of your tenders.,client/src/lib/i18n.tsx,3422,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.catProposalDecision,قرارات العروض,Proposal decisions,client/src/lib/i18n.tsx,3423,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.catProposalDecisionDesc,عندما يقبل المشتري عرضك أو يرفضه.,When a buyer accepts or rejects your proposal.,client/src/lib/i18n.tsx,3424,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.catQaActivity,نشاط الأسئلة والإجابات,Q&A activity,client/src/lib/i18n.tsx,3431,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.catQaActivityDesc,عند طرح سؤال أو نشر إجابة على مناقصة ذات صلة.,When a question is asked or answered on a relevant tender.,client/src/lib/i18n.tsx,3432,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.catTenderLifecycle,دورة حياة المناقصة,Tender lifecycle,client/src/lib/i18n.tsx,3429,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.catTenderLifecycleDesc,عند إنشاء مناقصة أو تغيير حالتها أو إغلاقها للتقييم.,"When a tender is created, status changes, or closes for evaluation.",client/src/lib/i18n.tsx,3430,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.chEmail,البريد الإلكتروني,Email,client/src/lib/i18n.tsx,3417,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.chInApp,داخل التطبيق,In-app,client/src/lib/i18n.tsx,3418,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.chSms,رسائل SMS,SMS,client/src/lib/i18n.tsx,3419,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.comingSoon,قريبًا,Coming soon,client/src/lib/i18n.tsx,3413,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.companyContext,التفضيلات لـ {company},Preferences for {company},client/src/lib/i18n.tsx,3412,Toast — ~2 lines max,{company},
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.loading,جارٍ التحميل…,Loading…,client/src/lib/i18n.tsx,3436,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.noActiveCompany,اختر شركة من الرأس لإدارة تفضيلات الإشعارات.,Select a company in the header to manage notification preferences.,client/src/lib/i18n.tsx,3437,Toast — ~2 lines max,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.pageDescription,اختر الإشعارات التي تريد استلامها. كل خيار يتحكم فقط في صندوق بريدك الشخصي — لا في زملائك أو الشركات الأخرى.,Choose which emails you want to receive. Each toggle controls only your own inbox — never your teammates' or other companies'.,client/src/lib/i18n.tsx,3411,,,
"12. Account, notifications & settings",Notifications,user menu,Heading / title,notifications.pageTitle,تفضيلات الإشعارات,Notification preferences,client/src/lib/i18n.tsx,3410,One line preferred,,
"12. Account, notifications & settings",Notifications,user menu,Error message,notifications.saveError,تعذر حفظ التفضيل,Couldn't save your preference,client/src/lib/i18n.tsx,3414,,,
"12. Account, notifications & settings",Notifications,user menu,Helper text,notifications.saveErrorDesc,حدث خطأ ما. حاول مرة أخرى.,Something went wrong. Try again.,client/src/lib/i18n.tsx,3415,,,
"12. Account, notifications & settings",Notifications,user menu,Notification,notifications.sidebar,الإشعارات,Notifications,client/src/lib/i18n.tsx,3409,Toast — ~2 lines max,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.accountSettings,إعدادات الحساب,Account settings,client/src/lib/i18n.tsx,10,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.addAnother,إضافة آخر,Add another,client/src/lib/i18n.tsx,130,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.adminPanelDesc,إدارة المنصة والمستخدمين,Manage platform & users,client/src/lib/i18n.tsx,71,,,
"12. Account, notifications & settings",Settings,/settings,Form label,settings.adminPanelLabel,لوحة المشرف,Admin Panel,client/src/lib/i18n.tsx,70,,,
"12. Account, notifications & settings",Settings,/settings,Notification,settings.allNotifications,جميع الإشعارات,All Notifications,client/src/lib/i18n.tsx,57,Toast — ~2 lines max,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.appearance,المظهر,Appearance,client/src/lib/i18n.tsx,31,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.backToSettings,العودة إلى الإعدادات,Back to Settings,client/src/lib/i18n.tsx,147,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.chooseTimezone,اختر منطقتك الزمنية,Choose your timezone,client/src/lib/i18n.tsx,28,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.companyBio,نبذة عن الشركة,Company bio,client/src/lib/i18n.tsx,45,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.companyBioHelper,وصف موجز لشركتك.,A brief description of your company.,client/src/lib/i18n.tsx,46,,,
"12. Account, notifications & settings",Settings,/settings,Placeholder,settings.companyBioPlaceholder,أخبرنا عن شركتك...,Tell us about your company...,client/src/lib/i18n.tsx,47,Must fit input width (1 line),,
"12. Account, notifications & settings",Settings,/settings,Text,settings.companyLogo,شعار الشركة,Company Logo,client/src/lib/i18n.tsx,41,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.companyLogoHelper,شعار شركتك، مرئي للشركاء والموردين.,"Your company logo, visible to partners and vendors.",client/src/lib/i18n.tsx,42,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.companyLogoUpdated,تم تحديث شعار الشركة,Company logo updated,client/src/lib/i18n.tsx,119,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.companyLogoUpdatedDesc,تم حفظ شعار شركتك.,Your company logo has been saved.,client/src/lib/i18n.tsx,120,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.companyNotVerified,الشركة غير موثّقة,Company not verified,client/src/lib/i18n.tsx,72,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.companyNotVerifiedDesc,ارفع مستنداتك لفتح ميزات مثل إنشاء طلبات العروض وتقديم العروض.,Upload your documents to unlock features like creating RFPs and submitting proposals.,client/src/lib/i18n.tsx,73,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.companyProfileMenuItem,ملف الشركة,Company Profile,client/src/lib/i18n.tsx,83,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.companyProfilePage,صفحة ملف الشركة,Company Profile Page,client/src/lib/i18n.tsx,137,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.companyProfilePageDesc,تخصيص كيفية ظهور ملف شركتك للمقدّمين عند مراجعة عروضك.,Customize how your company profile appears to requesters when they review your proposals.,client/src/lib/i18n.tsx,138,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.companySlug,معرف الشركة,Company slug,client/src/lib/i18n.tsx,48,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.companySlugHelper,معرف شركتك الفريد (للقراءة فقط).,Your unique company identifier (read-only).,client/src/lib/i18n.tsx,49,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.companyUpdated,تم تحديث الشركة,Company updated,client/src/lib/i18n.tsx,113,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.companyUpdatedDesc,تم حفظ معلومات شركتك.,Your company information has been saved.,client/src/lib/i18n.tsx,114,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.contactSupport,تواصل مع الدعم,Contact Support,client/src/lib/i18n.tsx,62,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.customizeProfilePage,تخصيص صفحة الملف,Customize Profile Page,client/src/lib/i18n.tsx,139,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.customizeTractionPage,تخصيص صفحة Traction,Customize Traction Page,client/src/lib/i18n.tsx,141,,,Latin words inside Arabic string
"12. Account, notifications & settings",Settings,/settings,Text,settings.dark,داكن,Dark,client/src/lib/i18n.tsx,35,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.displayName,الاسم المعروض,Display name,client/src/lib/i18n.tsx,43,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.displayNameHelper,الاسم المعروض للموردين والشركاء.,The name displayed to vendors and partners.,client/src/lib/i18n.tsx,44,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.documentUploadedDesc,تم حفظ {name}.,{name} has been saved.,client/src/lib/i18n.tsx,94,,{name},
"12. Account, notifications & settings",Settings,/settings,Notification,settings.documentUploadedToast,تم رفع المستند,Document uploaded,client/src/lib/i18n.tsx,93,Toast — ~2 lines max,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.emailHelper,بريدك الإلكتروني للاتصال والمعلومات والإشعارات,"Your account email for connection, information & notifications",client/src/lib/i18n.tsx,18,,,
"12. Account, notifications & settings",Settings,/settings,Notification,settings.emailNotifications,إشعارات البريد الإلكتروني,Email Notifications,client/src/lib/i18n.tsx,58,Toast — ~2 lines max,,
"12. Account, notifications & settings",Settings,/settings,Error message,settings.failedRemoveMember,تعذّر إزالة العضو,Failed to remove member,client/src/lib/i18n.tsx,91,,,
"12. Account, notifications & settings",Settings,/settings,Error message,settings.failedSendInvitations,تعذّر إرسال الدعوات,Failed to send invitations,client/src/lib/i18n.tsx,124,,,
"12. Account, notifications & settings",Settings,/settings,Error message,settings.failedSwitchCompany,تعذّر تبديل الشركة,Failed to switch company,client/src/lib/i18n.tsx,69,,,
"12. Account, notifications & settings",Settings,/settings,Error message,settings.failedUpdateCompany,تعذّر تحديث الشركة,Failed to update company,client/src/lib/i18n.tsx,115,,,
"12. Account, notifications & settings",Settings,/settings,Error message,settings.failedUpdateProfile,تعذّر تحديث الملف الشخصي,Failed to update profile,client/src/lib/i18n.tsx,112,,,
"12. Account, notifications & settings",Settings,/settings,Error message,settings.failedUpdateRole,تعذّر تحديث الدور,Failed to update role,client/src/lib/i18n.tsx,89,,,
"12. Account, notifications & settings",Settings,/settings,Error message,settings.failedUploadLogo,تعذّر رفع الشعار,Failed to upload logo,client/src/lib/i18n.tsx,121,,,
"12. Account, notifications & settings",Settings,/settings,Error message,settings.failedUploadPicture,تعذّر رفع الصورة,Failed to upload picture,client/src/lib/i18n.tsx,118,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.faqs,الأسئلة الشائعة,FAQs,client/src/lib/i18n.tsx,61,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.firstName,الاسم الأول,First name,client/src/lib/i18n.tsx,13,,,
"12. Account, notifications & settings",Settings,/settings,Helper text,settings.firstNameHelper,الاسم الذي سيراه الآخرون في فريقك.,The name others in your team will see you as.,client/src/lib/i18n.tsx,15,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.gdpr,الخصوصية والامتثال (PDPL),Privacy & compliance (PDPL),client/src/lib/i18n.tsx,39,,,Latin words inside Arabic string
"12. Account, notifications & settings",Settings,/settings,Text,settings.gdprCheckbox,ألتزم بنظام حماية البيانات الشخصية السعودي (PDPL) عند إدارة بيانات العملاء المحتملين.,I comply with Saudi Arabia's Personal Data Protection Law (PDPL) when managing my prospects' data.,client/src/lib/i18n.tsx,40,,,Latin words inside Arabic string
"12. Account, notifications & settings",Settings,/settings,Text,settings.gettingStarted,البدء,Getting Started,client/src/lib/i18n.tsx,60,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.helpCenter,مركز المساعدة,Help Center,client/src/lib/i18n.tsx,54,,,
"12. Account, notifications & settings",Settings,/settings,Text,settings.intApiKeyRevoked,تم إلغاء مفتاح API,API key revoked,client/src/lib/i18n.tsx,163,,,
